-2.37506	-0.230553	0	0	0
-2.373411	-0.333885	0	0	0
-2.371472	-0.43721	0	0	0
-2.369243	-0.540529	0	0	0
-2.366724	-0.64384	0	0	0
-2.363914	-0.747142	0	0	0
-2.360815	-0.850435	0	0	0
-2.357426	-0.953717	0	0	0
-2.353747	-1.056989	0	0	0
-2.349779	-1.160248	0	0	0
-2.345521	-1.263496	0	0	0
-2.340974	-1.366729	0	0	0
-2.336138	-1.469948	0	0	0
-2.331014	-1.573153	0	0	0
-2.3256	-1.676341	0	0	0
-2.319898	-1.779512	0	0	0
-2.313907	-1.882667	0	0	0
-2.307628	-1.985802	0	0	0
-2.301061	-2.088919	0	0	0
-2.294206	-2.192016	0	0	0
-2.287063	-2.295092	0	0	0
-2.279632	-2.398147	0	0	0
-2.271914	-2.501179	0	0	0
-2.263908	-2.604189	0	0	0
-2.255615	-2.707174	0	0	0
-2.247035	-2.810135	0	0	0
-2.238168	-2.91307	0	0	0
-2.229014	-3.01598	0	0	0
-2.219574	-3.118862	0	0	0
-2.209848	-3.221716	0	0	0
-2.199835	-3.324542	0	0	0
-2.189536	-3.427338	0	0	0
-2.178951	-3.530104	0	0	0
-2.168081	-3.632839	0	0	0
-2.156926	-3.735543	0	0	0
-2.145485	-3.838214	0	0	0
-2.133759	-3.940852	0	0	0
-2.121749	-4.043455	0	0	0
-2.109453	-4.146023	0	0	0
-2.096874	-4.248557	0	0	0
-2.08401	-4.351053	0	0	0
-2.070861	-4.453513	0	0	0
-2.057429	-4.555934	0	0	0
-2.043714	-4.658317	0	0	0
-2.029715	-4.76066	0	0	0
-2.015433	-4.862963	0	0	0
-2.000867	-4.965224	0	0	0
-1.986019	-5.067445	0	0	0
-1.970889	-5.169622	0	0	0
-1.955476	-5.271756	0	0	0
-1.939781	-5.373846	0	0	0
-1.923804	-5.475891	0	0	0
-1.907545	-5.57789	0	0	0
-1.891005	-5.679844	0	0	0
-1.874183	-5.781749	0	0	0
-1.857081	-5.883607	0	0	0
-1.839698	-5.985416	0	0	0
-1.822033	-6.087176	0	0	0
-1.80409	-6.188885	0	0	0
-1.785866	-6.290545	0	0	0
-1.767362	-6.392151	0	0	0
-1.748578	-6.493706	0	0	0
-1.729516	-6.595207	0	0	0
-1.710174	-6.696654	0	0	0
-1.690553	-6.798047	0	0	0
-1.670654	-6.899384	0	0	0
-1.650476	-7.000665	0	0	0
-1.630021	-7.101889	0	0	0
-1.609287	-7.203054	0	0	0
-1.588276	-7.304162	0	0	0
-1.566988	-7.405211	0	0	0
-1.545423	-7.506199	0	0	0
-1.523581	-7.607127	0	0	0
-1.501462	-7.707994	0	0	0
-1.479067	-7.808799	0	0	0
-1.456397	-7.90954	0	0	0
-1.43345	-8.010219	0	0	0
-1.410228	-8.110832	0	0	0
-1.386731	-8.211381	0	0	0
-1.362959	-8.311863	0	0	0
-1.338913	-8.412279	0	0	0
-1.314592	-8.512629	0	0	0
-1.289997	-8.612909	0	0	0
-1.265129	-8.713122	0	0	0
-1.239987	-8.813265	0	0	0
-1.214572	-8.913339	0	0	0
-1.188884	-9.01334	0	0	0
-1.162924	-9.113271	0	0	0
-1.136691	-9.213128	0	0	0
-1.110186	-9.312914	0	0	0
-1.08341	-9.412624	0	0	0
-1.056362	-9.512261	0	0	0
-1.029043	-9.611824	0	0	0
-1.001454	-9.711309	0	0	0
-0.973594	-9.810719	0	0	0
-0.945464	-9.91005	0	0	0
-0.917064	-10.009305	0	0	0
-0.888394	-10.10848	0	0	0
-0.859455	-10.207575	0	0	0
-0.830248	-10.306591	0	0	0
-0.800771	-10.405527	0	0	0
-0.771026	-10.504379	0	0	0
-0.741014	-10.60315	0	0	0
-0.710734	-10.701839	0	0	0
-0.680186	-10.800445	0	0	0
-0.649372	-10.898964	0	0	0
-0.61829	-10.9974	0	0	0
-0.586943	-11.09575	0	0	0
-0.55533	-11.194013	0	0	0
-0.52345	-11.29219	0	0	0
-0.491306	-11.390278	0	0	0
-0.458896	-11.488278	0	0	0
-0.426222	-11.586189	0	0	0
-0.393284	-11.684011	0	0	0
-0.360081	-11.78174	0	0	0
-0.326615	-11.87938	0	0	0
-0.292886	-11.976929	0	0	0
-0.258893	-12.074383	0	0	0
-0.224638	-12.171746	0	0	0
-0.19012	-12.269013	0	0	0
-0.155341	-12.366187	0	0	0
-0.1203	-12.463265	0	0	0
-0.084998	-12.560248	0	0	0
-0.049435	-12.657134	0	0	0
-0.013612	-12.753922	0	0	0
0.022472	-12.850615	0	0	0
0.058815	-12.947206	0	0	0
0.095417	-13.043698	0	0	0
0.132279	-13.140092	0	0	0
0.169399	-13.236384	0	0	0
0.206779	-13.332576	0	0	0
