-2.371472	-0.43721	0	0
-2.363914	-0.747142	0	0
-2.353747	-1.056989	0	0
-2.340974	-1.366729	0	0
-2.3256	-1.676341	0	0
-2.307628	-1.985802	0	0
-2.287063	-2.295092	0	0
-2.263908	-2.604189	0	0
-2.238168	-2.91307	0	0
-2.209848	-3.221716	0	0
-2.178951	-3.530104	0	0
-2.145485	-3.838214	0	0
-2.109453	-4.146023	0	0
-2.070861	-4.453513	0	0
-2.029715	-4.76066	0	0
-1.986019	-5.067445	0	0
-1.939781	-5.373846	0	0
-1.891005	-5.679844	0	0
-1.839698	-5.985416	0	0
-1.785866	-6.290545	0	0
-1.729516	-6.595207	0	0
-1.670654	-6.899384	0	0
-1.609287	-7.203054	0	0
-1.545423	-7.506199	0	0
-1.479067	-7.808799	0	0
-1.410228	-8.110832	0	0
-1.338913	-8.412279	0	0
-1.265129	-8.713122	0	0
-1.188884	-9.01334	0	0
-1.110186	-9.312914	0	0
-1.029043	-9.611824	0	0
-0.945464	-9.91005	0	0
-0.859455	-10.207575	0	0
-0.771026	-10.504379	0	0
-0.680186	-10.800445	0	0
-0.586943	-11.09575	0	0
-0.491306	-11.390278	0	0
-0.393284	-11.684011	0	0
-0.292886	-11.976929	0	0
-0.19012	-12.269013	0	0
-0.084998	-12.560248	0	0
0.022472	-12.850615	0	0
0.132279	-13.140092	0	0
0.244415	-13.428665	0	0
0.35887	-13.716316	0	0
0.475632	-14.003027	0	0
0.594693	-14.288779	0	0
0.716042	-14.573557	0	0
0.839668	-14.857343	0	0
0.965561	-15.14012	0	0
1.093709	-15.421867	0	0
1.224104	-15.702574	0	0
1.356733	-15.982221	0	0
1.491585	-16.260788	0	0
1.628651	-16.538265	0	0
1.767917	-16.814631	0	0
1.909373	-17.089872	0	0
2.053007	-17.36397	0	0
2.198808	-17.636911	0	0
2.346765	-17.908676	0	0
2.496864	-18.179255	0	0
2.649095	-18.448626	0	0
2.803447	-18.716778	0	0
2.959904	-18.983692	0	0
3.118458	-19.249355	0	0
3.279095	-19.513752	0	0
3.441802	-19.776869	0	0
3.606567	-20.038689	0	0
3.773378	-20.2992	0	0
3.942222	-20.558384	0	0
4.113087	-20.816229	0	0
4.285958	-21.07272	0	0
4.460824	-21.327841	0	0
4.637672	-21.581583	0	0
4.816488	-21.833927	0	0
4.99726	-22.084862	0	0
5.179973	-22.334375	0	0
5.364615	-22.582453	0	0
5.551172	-22.829079	0	0
5.739632	-23.074242	0	0
5.929978	-23.317928	0	0
6.122201	-23.560125	0	0
6.316284	-23.800821	0	0
6.512213	-24.040005	0	0
6.709977	-24.27766	0	0
6.909559	-24.513775	0	0
7.110948	-24.748341	0	0
7.314126	-24.98134	0	0
7.519083	-25.212767	0	0
7.725801	-25.442606	0	0
7.934269	-25.670845	0	0
8.144472	-25.897476	0	0
8.356394	-26.122484	0	0
